Board State ,EVAL
r6r/4k1pp/p3p3/1p2P1P1/2B4P/2N5/PPP5/2K3R1 w - b6 0 22,[%eval 2.87]
r6r/4k1pp/p3p3/1p2P1P1/7P/1BN5/PPP5/2K3R1 b - - 1 22,[%eval 2.65]
r6r/4k1pp/p3p3/4P1P1/1p5P/1BN5/PPP5/2K3R1 w - - 0 23,[%eval 3.32]
r6r/4k1pp/p3p3/4P1P1/1p2N2P/1B6/PPP5/2K3R1 b - - 1 23,[%eval 3.05]
r6r/4k1pp/4p3/p3P1P1/1p2N2P/1B6/PPP5/2K3R1 w - - 0 24,[%eval 2.54]
r6r/4k1pp/4p3/p1N1P1P1/1p5P/1B6/PPP5/2K3R1 b - - 1 24,[%eval 3.05]
r1r5/4k1pp/4p3/p1N1P1P1/1p5P/1B6/PPP5/2K3R1 w - - 2 25,[%eval 3.06]
r1r5/4k1pp/4N3/p3P1P1/1p5P/1B6/PPP5/2K3R1 b - - 0 25,[%eval 3.24]
r1r5/4k1pp/4N3/4P1P1/pp5P/1B6/PPP5/2K3R1 w - - 0 26,[%eval 3.17]
r1r5/4k1pp/4N3/3BP1P1/pp5P/8/PPP5/2K3R1 b - - 1 26,[%eval 3.16]
2r5/4k1pp/4N3/r2BP1P1/pp5P/8/PPP5/2K3R1 w - - 2 27,[%eval 3.13]
2r5/4k1pp/4N3/r2BP1P1/pp5P/8/PPP5/2KR4 b - - 3 27,[%eval 1.56]
2r5/4k1pp/4N3/1r1BP1P1/pp5P/8/PPP5/2KR4 w - - 4 28,[%eval 6.33]
2r5/4k1Np/8/1r1BP1P1/pp5P/8/PPP5/2KR4 b - - 0 28,[%eval 6.46]
2r5/4k1Np/8/1r1BP1P1/p6P/1p6/PPP5/2KR4 w - - 0 29,[%eval 7.36]
2r5/4k1Np/8/1r1BP1P1/p6P/1P6/1PP5/2KR4 b - - 0 29,[%eval 7.39]
2r5/4k1Np/8/1r1BP1P1/7P/1p6/1PP5/2KR4 w - - 0 30,[%eval 7.67]
2r5/4k1Np/8/1r1BP1P1/7P/1pP5/1P6/2KR4 b - - 0 30,[%eval 7.01]
8/4k1Np/8/1rrBP1P1/7P/1pP5/1P6/2KR4 w - - 1 31,[%eval 7.93]
8/4k1Np/8/1rr1P1P1/4B2P/1pP5/1P6/2KR4 b - - 2 31,[%eval 5.7]
8/4k1Np/8/1r2r1P1/4B2P/1pP5/1P6/2KR4 w - - 0 32,[%eval 5.77]
8/4k1NB/8/1r2r1P1/7P/1pP5/1P6/2KR4 b - - 0 32,[%eval 5.81]
8/4k1NB/8/r3r1P1/7P/1pP5/1P6/2KR4 w - - 1 33,[%eval 5.67]
8/4k2B/8/r3rNP1/7P/1pP5/1P6/2KR4 b - - 2 33,[%eval 3.5]
5k2/7B/8/r3rNP1/7P/1pP5/1P6/2KR4 w - - 3 34,[%eval 11.57]
5k2/7B/8/r3r1P1/3N3P/1pP5/1P6/2KR4 b - - 4 34,[%eval 6.21]
5k2/r6B/8/4r1P1/3N3P/1pP5/1P6/2KR4 w - - 5 35,[%eval 6.24]
5k2/r7/8/4r1P1/3N3P/1pPB4/1P6/2KR4 b - - 6 35,[%eval 6.09]
5k2/7r/8/4r1P1/3N3P/1pPB4/1P6/2KR4 w - - 7 36,[%eval 50.58]
5k2/7B/8/4r1P1/3N3P/1pP5/1P6/2KR4 b - - 0 36,[%eval 25.42]
